Name,state,City,Address,Stars,Valoracion
Cerveza Jack's,Tennessee,Nashville,135 2nd Ave N,5,Muy bueno
Tired Hands Fermentaria,Pensilvania,Ardmore,35 Cricket Ter,3,Muy bueno
Besito Mexican Restaurant,Pensilvania,Ardmore,105 Coulter Ave,5,Muy bueno
Jack in the Box,Missouri,Arnold,1289 Jeffco Blvd,1,Regular
Sun King Brewery,Indiana,Indianapolis,135 N College Ave,4,Muy bueno
Taqueria Durango,Missouri,Saint Louis,10238 Page Ave,5,Muy bueno
Rosalita's Cantina,Missouri,Saint Louis,1235 Washington Ave,1,Malo
Don Pablo's,Nueva Jersey,Woodbury,1860 Deptford Center Rd,2,Malo
Los Agaves,California,Santa Barbara,600 N Milpas St,5,Muy bueno
The Blind Pelican,Luisiana,New Orleans,1628 St Charles Ave,1,Malo
Amigos Tortilla Bar,Florida,St Petersburg,681 Central Ave,1,Muy bueno
Don Nato's Mexican Food,Arizona,Tucson,45 W Valencia Rd,5,Muy bueno
Nemi Restaurant,Pensilvania,Philadelphia,2636 E Ann St,5,Muy bueno
Lucha Cartel,Pensilvania,Philadelphia,207 Chestnut St,5,Muy bueno
Casa Blanca Restaurant,California,Santa Barbara,330 State St,3,Malo
Johnny Sanchez,Luisiana,New Orleans,930 Poydras St,1,Muy bueno
Jack in the Box,Nevada,Reno,881 Apple St,1,Malo
Chili's,Florida,Tarpon Springs,40584 US 19 N,1,Muy bueno
El Zarape,California,Santa Barbara,1435 San Andres St,5,Muy bueno
Lolis Mexican Cravings,Florida,Tampa,8005 Benjamin Rd,5,Muy bueno
Street Taco And Beer,Arizona,Tucson,5870 E Broadway Blvd,5,Muy bueno
Charro Steak & Del Rey,Arizona,Tucson,188 E Broadway Blvd,5,Muy bueno
Grumpy Gringo,Florida,St. Petersburg,2510 22nd Ave N,2,Muy bueno
GUAC Tequila & Tacos,Florida,Tampa,"4110 Henderson Blvd, Ste B",5,Muy bueno
Delicia,Indiana,Indianapolis,5215 N College Ave,5,Muy bueno
Capital Tacos,Florida,Wesley Chapel,"27209 State Rd 56, Fl 56",2,Muy bueno
La Super-Rica Taqueria,California,Santa Barbara,622 N Milpas St,5,Malo
Casa Blanca Restaurant,California,Santa Barbara,330 State St,2,Muy bueno
Cuban Mexican Restaurant,Florida,Clearwater,4016 Ulmerton Rd,5,Muy bueno
The Bait House Tackle & Tavern,Florida,Clearwater Beach,45 Causeway Blvd,5,Muy bueno
Felipe's Mexican Taqueria - French Quarter,Luisiana,New Orleans,301 N Peters St,1,Malo
Bouchon,California,Santa Barbara,9 W Victoria St,5,Muy bueno
San Marcos Mexican Restaurant,Luisiana,Terrytown,1160 Terry Pkwy,3,Malo
El Paisano Restaurant,Nevada,Reno,"1290 E Plumb Ln, Ste A-B",5,Muy bueno
El Limon,Pensilvania,Ardmore,61 W Lancaster Ave,5,Muy bueno
Verde Flavors Of Mexico,Indiana,Carmel,1111 W Main St,5,Muy bueno
Chipotle Mexican Grill,Pensilvania,North Wales,30 Airport Sq,3,Muy bueno
Los Agaves,California,Goleta,7024 Market Pl Dr,5,Muy bueno
Baja Cafe on Campbell,Arizona,Tucson,2970 N Campbell Ave,5,Muy bueno
PJ's Pancake House & Tavern - Ewing,Nueva Jersey,Ewing,938 Bear Tavern Rd,4,Muy bueno
Dos Reyes Mexican Restaurant,Missouri,St. Louis,5912 Hampton Ave,5,Muy bueno
Grand Hacienda,Florida,Saint Petersburg,399 11th Ave N,3,Muy bueno
The Lake Bar & Grill,Nevada,Sparks,9716 Pyramid Hwy,5,Muy bueno
Bartaco,Florida,Tampa,1601 W Snow Ave,5,Muy bueno
El Meson,Indiana,Indianapolis,8810 S Emerson Ave,4,Muy bueno
The VIP Mexican Restaurant & Lounge,Florida,Treasure Island,10625 Gulf Blvd,5,Muy bueno
King George II Inn,Pensilvania,Bristol,102 Radcliffe St,3,Muy bueno
Condado Tacos,Indiana,Indianapolis,838 Broad Ripple Ave,4,Muy bueno
Pancho & Willie's Cantina,Nevada,Sparks,815 Nichols Blvd,5,Muy bueno
El Charro Cafe,Arizona,Tucson,6910 E Sunrise Dr,5,Muy bueno
Taco Dirty,Florida,Tampa,2221 W Platt St,5,Muy bueno
Mi Tenampa,Indiana,Indianapolis,"11915 Pendleton Pike, Ste L",5,Muy bueno
Solario Cantina,Tennessee,Nashville,2800 Opryland Dr,2,Muy bueno
South Philly Barbacoa,Pensilvania,Philadelphia,1140 S 9th St,5,Muy bueno
Casino Del Sol,Arizona,Tucson,5655 W Valencia Rd,5,Muy bueno
Red Mesa Restaurant,Florida,St Petersburg,4912 4th St N,5,Muy bueno
Lucha Cartel,Pensilvania,Philadelphia,207 Chestnut St,5,Muy bueno
El Limon - Paoli,Pensilvania,Paoli,15 E Lancaster Ave,5,Muy bueno
Mekenita Cantina,Florida,Tampa,6707 N Florida Ave,5,Muy bueno
Bajo Sexto Taco,Tennessee,Nashville,216 Rep John Lewis Way S,4,Muy bueno
Casa Valencia,Arizona,Tucson,1825 W Valencia,4,Muy bueno
Chipotle Mexican Grill,Tennessee,Nashville,"96 White Bridge Rd, Ste 103",2,Muy bueno
El Sur Restaurant,Arizona,Tucson,5602 E 22nd St,4,Muy bueno
Carlillos Cocina,Nevada,Sparks,415 S Rock Blvd,1,Malo
South Philly Barbacoa,Pensilvania,Philadelphia,1140 S 9th St,5,Muy bueno
Roost,California,Santa Barbara,1305 State St,5,Muy bueno
Nemi Restaurant,Pensilvania,Philadelphia,2636 E Ann St,5,Muy bueno
Beto's Mexican Food,Nevada,Reno,575 W 5th St,5,Muy bueno
Tijuana Flats,Florida,Tampa,4027 S Dale Mabry Hwy,3,Muy bueno
Rose Cafe No 2,California,Santa Barbara,1816 Cliff Dr,2,Muy bueno
Beto's Mexican Food,Nevada,Reno,575 W 5th St,1,Malo
Rosepepper Mexican Grill,Tennessee,Nashville,1907 Eastland Ave,3,Muy bueno
Macho Tequila's,Nevada,Sparks,2144 Greenbrae Dr,5,Muy bueno
Los Arroyos Mexican Restaurant & Take Out,California,Santa Barbara,14 W Figueroa St,5,Muy bueno
Central Taco & Tequila,Nueva Jersey,Haddon Township,350 Haddon Ave,2,Muy bueno
Andrade's Restaurante Mexicano,Idaho,Boise,4620 W Overland Rd,5,Muy bueno
Taqueria Emanuel,Florida,Tampa,"2800 N Macdill Ave, Ste E",1,Muy bueno
Salsa Verde Restaurant,Arizona,Tucson,210 N Pantano Rd,5,Muy bueno
Tin Roof Tacos,Idaho,Boise,115 S Broadway Ave,5,Muy bueno
Tacos Y Mariscos El Amigo,Tennessee,Nashville,3901 Nolensville Pike,4,Muy bueno
Bull Market Tampa,Florida,Tampa,4807 S Himes Ave,4,Muy bueno
Mekenita Cantina,Florida,Tampa,6707 N Florida Ave,5,Muy bueno
Besito Mexican Restaurant,Florida,Tampa,205 Westshore Plz,3,Muy bueno
La Parrilla Suiza,Arizona,Tucson,5602 E Speedway Blvd,1,Malo
Revolution Taco,Pensilvania,Philadelphia,2015 Walnut St,3,Muy bueno
Tijuana Flats,Florida,Lutz,17475 N Dale Mabry Hwy,4,Muy bueno
El Chapo Taco,Florida,Gulfport,3038 Beach Blvd S,4,Muy bueno
Moe's Southwest Grill,Florida,Land O' Lakes,2087 Collier Pkwy,3,Muy bueno
Rose Cafe,California,Santa Barbara,424 E Haley St,5,Muy bueno
Tortilla Press Cantina,Nueva Jersey,Merchantville,7716 Maple Ave,4,Muy bueno
Red Sombrero - Kennett Square,Pensilvania,Kennett Square,879 E Baltimore Pike,5,Muy bueno
Chili's,Florida,Tampa,17643 Bruce B Downs Blvd,5,Muy bueno
Plazita Mexico Cafe,Arizona,Tucson,20 N Sarnoff Dr,5,Muy bueno
Acapulco Joe's,Indiana,Indianapolis,365 N Illinois St,2,Muy bueno
Yard House,Indiana,Indianapolis,15 W Maryland St,2,Malo
Cantina Los Tres Hombres,Nevada,Sparks,926 Victorian Ave,1,Muy bueno
El Zarape,California,Santa Barbara,1435 San Andres St,2,Malo
Red Sombrero - Kennett Square,Pensilvania,Kennett Square,879 E Baltimore Pike,3,Muy bueno
Garden Grille Cafe,Florida,Palm Harbor,34018 US Hwy 19 N,5,Muy bueno
Chili's,Florida,Tampa,13050 N Dale Mabry Hwy,1,Malo
Santo Mezcal,California,Santa Barbara,119 State St,1,Muy bueno
Condado Tacos,Indiana,Indianapolis,838 Broad Ripple Ave,4,Muy bueno
Nada,Indiana,Indianapolis,11 W Maryland St,4,Muy bueno
Nada,Indiana,Indianapolis,11 W Maryland St,5,Muy bueno
Urban Cantina,Florida,Tampa,200 E Madison St,4,Malo
Tacos Mi Rancho,Florida,Tampa,10319 Dale Mabry,5,Muy bueno
Oishii Poké,Pensilvania,Philadelphia,938 Arch St,5,Muy bueno
Nada,Indiana,Indianapolis,11 W Maryland St,5,Muy bueno
Murrieta's,Nevada,Reno,8195 S Virginia St,5,Muy bueno
Chuy's,Tennessee,Nashville,163B Opry Mills Dr,2,Malo
Luciana's Mexican Restaurant,Indiana,Greenwood,1133 N State Rd 135,4,Muy bueno
Tanias 33 Mexican Food,Arizona,Tucson,614 N Grande Ave,1,Malo
El Toro Mexican Cuisine,Indiana,Indianapolis,8840 Michigan Rd,5,Muy bueno
Santo Mezcal,California,Santa Barbara,119 State St,1,Malo
Bartaco,Florida,Tampa,1601 W Snow Ave,5,Muy bueno
Tortilla Press Cantina,Nueva Jersey,Merchantville,7716 Maple Ave,5,Muy bueno
El Zarape,California,Santa Barbara,1435 San Andres St,1,Malo
Little Tommies Tiki,Florida,Gulfport,5519 Shore Blvd S,5,Muy bueno
Chipotle Mexican Grill,Pensilvania,Willow Grove,2618 W Moreland Rd,5,Muy bueno
Bakersfield,Tennessee,Nashville,201 3rd Ave S,5,Muy bueno
Little Mexico Steakhouse,Arizona,Tucson,2851 W Valencia Rd,3,Muy bueno
El Original Tacos Tijuana,Nevada,Sparks,2201 Prater Way,5,Muy bueno
Chipotle Mexican Grill,Luisiana,Metairie,3600 Veterans Memorial Blvd,4,Muy bueno
Lolita,Pensilvania,Philadelphia,106 S 13th St,4,Muy bueno
Seis Kitchen,Arizona,Tucson,"130 S Avenida Del Convento, Ste 100",5,Muy bueno
Favela Chic,Luisiana,New Orleans,525 Frenchmen St,5,Muy bueno
Lolita,Pensilvania,Philadelphia,106 S 13th St,5,Muy bueno
Mazatlan Mexican Restaurant,Tennessee,Brentwood,116 Wilson Pike,5,Muy bueno
Casa Molina,Arizona,Tucson,6225 E Speedway Blvd,1,Malo
BK Tacos,Arizona,Tucson,5118 S 12th Ave,5,Muy bueno
El Limon - Malvern,Pensilvania,Malvern,446 Lancaster Ave,5,Muy bueno
Margaritas Mexican Restaurant,Pensilvania,Langhorne,198 North Buckstown Rd,3,Muy bueno
El Rodeo No 9,Indiana,Mooresville,453 Town Center St N,1,Malo
Taco Bell,Nevada,Spanish Springs,191 Disc Dr,1,Malo
Monserrate Restaurant Bar & Grill,Florida,Tampa,2311 W Hillsborough Ave,2,Malo
Badfins Food + Brew,Florida,Clearwater,215 S Gulfview Blvd,5,Muy bueno
Seis Kitchen,Arizona,Tucson,"130 S Avenida Del Convento, Ste 100",5,Muy bueno
D'Mexican,Florida,St. Petersburg,6630 Central Ave,5,Muy bueno
Chuy's,Tennessee,Franklin,3061 Mallory Lane,2,Malo
Taco Bell,Florida,Brandon,904 Bloomingdale Rd,2,Muy bueno
Sculley's Waterfront Restaurant,Florida,Madeira Beach,190 Boardwalk Pl E,4,Muy bueno
El Purepecha,Pensilvania,Philadelphia,315 N 12th St,4,Muy bueno
Tito's Mexican Restaurant - Berry Farms,Tennessee,Franklin,"4001 Hughes Crossing, Ste 111",4,Muy bueno
Jake's Coastal Cantina,Florida,Indian Rocks Beach,500 1st St,5,Muy bueno
El Mariachi San Lucas,Nueva Jersey,Voorhees,118 White Horse Rd E,5,Muy bueno
Que Pasa Mexican Cantina,Florida,St. Petersburg,10478 Roosevelt Blvd N,5,Muy bueno
Ole' Mexican Grill,Arizona,Tucson,2080 W Orange Grove Rd,1,Muy bueno
Moe's Southwest Grill,Florida,Largo,11140 Starkey Rd,1,Malo
La Hacienda Taqueria,Tennessee,Nashville,2615 Nolensville Pike,3,Muy bueno
Rollies Mexican Patio,Arizona,Tucson,4573 S 12th Ave,5,Muy bueno
Rosa's Mexican Food Restaurant,Arizona,Tucson,"1750 E Fort Lowell, Ste 164",5,Muy bueno
Rollies Mexican Patio,Arizona,Tucson,4573 S 12th Ave,5,Muy bueno
Burrito Boarder,Florida,Saint Petersburg,17 3rd St N,4,Muy bueno
Salty Cowboy,Indiana,Zionsville,55 E Oak St,5,Muy bueno
Red Mesa Mercado,Florida,St. Petersburg,1100 1st Ave N,4,Muy bueno
Burrito Bandito,Nevada,Sparks,"1425 George Ferris Dr, Ste M-171",5,Muy bueno
Tacos And Beer,Luisiana,New Orleans,1622 Saint Charles Ave,5,Muy bueno
Burrito Bandito,Nevada,Sparks,"1425 George Ferris Dr, Ste M-171",5,Muy bueno
Frenchy's Saltwater Cafe,Florida,Clearwater Beach,419 Poinsettia Ave,5,Muy bueno
Taqueria Corona,Luisiana,Harahan,1827 Hickory Ave,5,Muy bueno
Rosa's Mexican Food Restaurant,Arizona,Tucson,"1750 E Fort Lowell, Ste 164",1,Malo
Green Lemon,Florida,Tampa,915 S Howard Ave,5,Muy bueno
Los Agaves Grill,Indiana,McCordsville,5965 West Broadway,4,Muy bueno
Nueva Cantina,Florida,Saint Petersburg,1625 4th St S,1,Malo
Casa Molina,Arizona,Tucson,6225 E Speedway Blvd,1,Malo
Border Cafe,Delaware,Newark,483 Stanton Christiana Rd,2,Malo
El Huarache Veloz,Florida,Pinellas Park,7100 49th St N,4,Muy bueno
El Vez,Pensilvania,Philadelphia,121 S 13th St,5,Muy bueno
México Lindo,Pensilvania,Philadelphia,700 Moore St,5,Muy bueno
El Tule Authentic Mexican and Peruvian Restaurant,Nueva Jersey,Lambertville,49 N Main St,5,Muy bueno
El Vez,Pensilvania,Philadelphia,121 S 13th St,4,Muy bueno
417 Union,Tennessee,Nashville,417 Union St,5,Muy bueno
Jimboys Tacos,Nevada,Reno,"2900 Clear Acre Ln, Ste V",5,Muy bueno
Don Taco Mexican Restaurant,Florida,Tarpon Springs,672 E Tarpon Ave,5,Muy bueno
Don Taco Mexican Restaurant,Florida,Tarpon Springs,672 E Tarpon Ave,5,Muy bueno
Don Cuervo,Indiana,Greenwood,4800 W Smith Valley Rd,5,Muy bueno
Los Agaves,California,Santa Barbara,600 N Milpas St,5,Muy bueno
El Vez,Pensilvania,Philadelphia,121 S 13th St,5,Muy bueno
Taco Bell,Tennessee,Antioch,5315 Hickory Hollow Ln.,1,Malo
El Manantial Tacos Y Hotdogs,Arizona,Tucson,Park Ave And 36th,5,Muy bueno
Zeppelin,Nevada,Reno,1445 S Meadows Pkwy,3,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,Tampa,"2223 N Westshore Blvd, International Plaza",5,Muy bueno
Madre - Boutique Taqueria,Idaho,Boise,1034 S La Pointe St,5,Muy bueno
Nueva Cantina,Florida,Tampa,4918 S MacDill Ave,2,Muy bueno
Murrietas,Nevada,Sparks,3060 Vista Blvd,4,Muy bueno
Central Taco & Tequila,Nueva Jersey,Haddon Township,350 Haddon Ave,4,Muy bueno
Casa Garcia Mexican Restaurant,Luisiana,Metairie,"8814 Veterans Memorial Blvd, Ste 9",4,Muy bueno
Taco Buddha,Missouri,University City,7405 Pershing Ave,4,Muy bueno
El Molinito,Arizona,Oro Valley,10180 N Oracle Rd,2,Muy bueno
El Purepecha,Pensilvania,Philadelphia,315 N 12th St,5,Muy bueno
Amigos Tortilla Bar,Florida,St Petersburg,681 Central Ave,3,Malo
Don Panchito Mexican Grill,Pensilvania,Philadelphia,3180 Grant Ave,5,Muy bueno
Taco Express,Indiana,Indianapolis,8626 Pendleton Pike,5,Muy bueno
Los Portales,Indiana,Indianapolis,"2989 W 71st St, Ste 6",5,Muy bueno
Mariscos El Gato,Missouri,St Louis,4561 Gravois Ave,4,Muy bueno
Pearly's Beach Eats,Florida,Clearwater,45 Papaya St,5,Muy bueno
Tortas Guicho Dominguez y El Cubanito,Indiana,Indianapolis,641 Virginia Ave,5,Muy bueno
Dosbros Fresh Mexican Grill,Tennessee,Franklin,"1800 Galleria Blvd, Ste 3010",3,Malo
Aldertos Fresh Mexican Food,Nevada,Reno,2900 Clear Acre Ln,5,Muy bueno
Mangos Mexican Restaurant,Tennessee,Hendersonville,300 Indian Lake Blvd,4,Muy bueno
Super Taqueria,Nevada,Reno,"9333 Double R Blvd, Ste 1650",4,Muy bueno
Red Habanero,Indiana,Fishers,8510 E 96th St,3,Muy bueno
Blanco Tacos + Tequila,Arizona,Tucson,"2905 E Skyline Dr, Ste 246",5,Muy bueno
Chipotle Mexican Grill,Tennessee,Nashville,"96 White Bridge Rd, Ste 103",1,Malo
Lilly's Tacos,California,Goleta,"290 Storke Rd, Ste D",2,Muy bueno
Nada,Indiana,Indianapolis,11 W Maryland St,4,Muy bueno
Red Mesa Cantina,Florida,St Petersburg,128 3rd St S,4,Muy bueno
El Pavo Real,Luisiana,New Orleans,4401 S Broad Ave,3,Muy bueno
Plaza Vazquez,Pensilvania,Stowe,1642 W High St,5,Muy bueno
Miguel's Mexican Food,Nevada,Reno,1415 S Virginia St,5,Muy bueno
The Honu,Florida,Dunedin,516 Grant St,4,Muy bueno
Agave Restaurant,Florida,St. Pete Beach,6400 Gulf Blvd,5,Muy bueno
Mari Chuy's - Midtown,Nevada,Reno,764 S Virginia St,5,Muy bueno
Taco Time,Idaho,Meridian,785 S Progress Ave,1,Malo
El Diablo Burritos,Delaware,Wilmington,5329A Limestone Rd,5,Muy bueno
Tacos El Rey,Nevada,Reno,"6633 S Virginia St, Ste A",5,Muy bueno
